title,price,rating,reviews,availability,brand,category,off,bought
"realme 13 5G (Dark Purple, 8GB RAM, 128GB Storage) | Expandable Upto 2TB | Up to 18GB Dynamic RAM | 50MP AI Dual Camera | 6.72"" AMOLED Display | 45W Ultra Charging | Dimensity 6300 Processor","15,949.00",4.2 out of 5 stars,30 ratings,In stock,realme,SmartPhone,-28%,500+ bought in past month
"Redmi A4 5G (Starry Black, 4GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging","9,499.00",4.0 out of 5 stars,"2,220 ratings",In stock,Redmi,SmartPhone,-21%,5K+ bought in past month
"OPPO F27 Pro+ 5G (Midnight Navy, 8GB RAM, 256GB Storage) | 6.7"" FHD+ AMOLED Toughest 3D Curved Display|64MP AI Featured Camera|IP69 | 67W SUPERVOOC| with No Cost EMI/Additional Exchange Offers","27,999.00",4.0 out of 5 stars,609 ratings,In stock,Oppo,SmartPhone,-20%,200+ bought in past month
"OnePlus Nord CE4 Lite 5G (Mega Blue, 8GB RAM, 128GB Storage)","17,998.00",4.1 out of 5 stars,"5,420 ratings",In stock,OnePlus,SmartPhone,-14%,5K+ bought in past month
"OnePlus Nord 4 5G (Obsidian Midnight, 8GB RAM, 256GB Storage)","29,998.00",4.2 out of 5 stars,"3,052 ratings",In stock,OnePlus,SmartPhone,-9%,4K+ bought in past month
Apple iPhone 13 (128GB) - Blue,"43,999.00",4.5 out of 5 stars,"33,261 ratings",In stock,Apple,SmartPhone,-27%,500+ bought in past month
"Samsung Galaxy M35 5G (Thunder Grey,6GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger","16,998.00",4.1 out of 5 stars,"8,097 ratings",In stock,Samsung,SmartPhone,-31%,5K+ bought in past month
"OnePlus Nord 4 5G (Mercurial Silver, 8GB RAM, 256GB Storage)","29,998.00",4.2 out of 5 stars,"3,052 ratings",In stock,OnePlus,SmartPhone,-9%,2K+ bought in past month
"Redmi A3X (Ocean Green, 3GB RAM, 64GB Storage) | Premium Halo Design | 90Hz Display | Powerful Octa Core Processor","6,199.00",3.8 out of 5 stars,355 ratings,In stock,Redmi,SmartPhone,-38%,500+ bought in past month
"Samsung Galaxy S24 FE 5G AI Smartphone (Graphite, 8GB RAM, 128GB Storage)","41,699.00",4.1 out of 5 stars,33 ratings,In stock,Samsung,SmartPhone,-31%,1K+ bought in past month
"Lava O3 (Glossy White, 3 GB RAM, 64 GB Storage) | Biggest 6.75"" HD+ Display | 13MP AI Dual Rear Camera | 5000 mAh Battery | Secure Face Unlock | Fingerprint Reader | Charger & Phone-Cover in Box","5,798.00",3.8 out of 5 stars,301 ratings,In stock,Lava,SmartPhone,-13%,500+ bought in past month
Apple iPhone 13 (128GB) - Blue,"43,999.00",4.5 out of 5 stars,"33,261 ratings",In stock,Apple,SmartPhone,-27%,500+ bought in past month
"Oppo K12x 5G with 45W SUPERVOOC Charger in-The-Box (Breeze Blue, 128 GB) (6 GB RAM)","12,335.00",4.1 out of 5 stars,67 ratings,In stock,Oppo,SmartPhone,-27%,1K+ bought in past month
"Redmi 13 5G, Hawaiian Blue, 8GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment","13,899.00",4.0 out of 5 stars,"3,614 ratings",Only 1 left in stock.,Redmi,SmartPhone,-31%,1K+ bought in past month
"Vivo Y19e (Majestic Green, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers | with Charger","7,999.00",Previous page,,In stock,VIVO,SmartPhone,-33%,Not Available
"iPhone 16e 128 GB: Built for Apple Intelligence, A18 Chip, Supersized Battery Life, 48MP Fusion. Camera, 15.40 cm (6.1″) Super Retina XDR Display; Black","56,790.00",4.1 out of 5 stars,51 ratings,In stock,Apple,SmartPhone,-5%,500+ bought in past month
"Samsung Galaxy M16 5G (Mint Green, 6GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | Super Amoled Display | 25W Fast Charging | 6 Gen. of OS Upgrades | Without Charger","12,998.00",4.1 out of 5 stars,12 ratings,In stock,Samsung,SmartPhone,-26%,Not Available
